id,hue,saturation,value,svsum,grid_x,grid_y
A_1_773_D,0.436473467,0.150003311,0.630651467,0.780654778,42,2
77_63_28_a,0.0877604,0.150046152,0.539407203,0.689453354,42,3
79_61_I,0.132785437,0.150051558,0.498831293,0.648882852,42,4
2009_16_3_a,0.380315526,0.150097501,0.644748977,0.794846478,42,5
52_7_4,0.083727048,0.150117786,0.712575089,0.862692875,42,6
IMG_49.17.61.E,0.212528636,0.15014457,0.725928374,0.876072944,42,7
A_1_816_C,0.268783108,0.150174912,0.531234062,0.681408974,42,8
76_12_A,0.406604114,0.150181298,0.357687694,0.507868992,42,9
TL.2017.82.8_Med_ garveyite_family,0.170355725,0.150279995,0.37249619,0.522776185,42,10
A_1_816_I,0.343236641,0.150381225,0.595726497,0.746107722,42,11
